Strike,Dip,Rake,Misfit
90,30,-100,0.414948107614
90,30,-90,0.442230044631
90,30,-80,0.478448574761
90,30,-70,0.528749157026
90,30,-60,0.603289708776
90,35,-100,0.337412534294
90,35,-90,0.368361008647
90,35,-80,0.408867033845
90,35,-70,0.462848241354
90,35,-60,0.537899222259
90,35,-50,0.648929727894
90,40,-100,0.293899822851
90,40,-90,0.336630816582
90,40,-80,0.387571019214
90,40,-70,0.449624246653
90,40,-60,0.528484708891
90,40,-50,0.634644795417
90,45,-100,0.289546653984
90,45,-90,0.34528035157
90,45,-80,0.405390415345
90,45,-70,0.472839156864
90,45,-60,0.55240622663
90,50,-100,0.322483332466
90,50,-90,0.386294227738
90,50,-80,0.450644648317
90,50,-70,0.518905700198
90,50,-60,0.595318187704
90,55,-100,0.384673686196
90,55,-90,0.450588474899
90,55,-80,0.514396781532
90,55,-70,0.5795474707
90,55,-60,0.649765317274
90,60,-100,0.469769764066
90,60,-90,0.532813410652
90,60,-80,0.592113637068
90,65,-100,0.57641868816
90,65,-90,0.631785751072
95,20,-100,0.635010935973
95,25,-100,0.506297593993
95,25,-90,0.551492194853
95,25,-80,0.604473092148
95,30,-100,0.400414917318
95,30,-90,0.437104941346
95,30,-80,0.479848213239
95,30,-70,0.53268376846
95,30,-60,0.602893804784
95,35,-100,0.320580647893
95,35,-90,0.357263232305
95,35,-80,0.398970474372
95,35,-70,0.448867772154
95,35,-60,0.512463270243
95,35,-50,0.600159195355
95,40,-100,0.275696704518
95,40,-90,0.318333361741
95,40,-80,0.364164063228
95,40,-70,0.416059408717
95,40,-60,0.478509071154
95,40,-50,0.559284235079
95,45,-100,0.276250971728
95,45,-90,0.324388950509
95,45,-80,0.373356123037
95,45,-70,0.426093587534
95,45,-60,0.486464543036
95,45,-50,0.560453159653
95,50,-100,0.321625496132
95,50,-90,0.369737355173
95,50,-80,0.417316863205
95,50,-70,0.467048175832
95,50,-60,0.522136058048
95,50,-50,0.587157918842
95,55,-100,0.400988377301
95,55,-90,0.443708481686
95,55,-80,0.485530155312
95,55,-70,0.528572661954
95,55,-60,0.575314182533
95,55,-50,0.629144220399
95,60,-100,0.506264577492
95,60,-90,0.539124830519
95,60,-80,0.57141138301
95,60,-70,0.604539557138
95,60,-60,0.64023334808
95,65,-100,0.635812609699
100,20,-100,0.607226664542
100,25,-100,0.483191740084
100,25,-90,0.540911918045
100,25,-80,0.605004375031
100,30,-100,0.378222525886
100,30,-90,0.427322122046
100,30,-80,0.480663040311
100,30,-70,0.542202791589
100,30,-60,0.618184501571
100,35,-100,0.298028792429
100,35,-90,0.343935816781
