Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Ratio1,Ratio2,Ratio3,Sum
15,75,280,110,20,0,0.454872264,-4.327949653,-1.349622162,0.311838693,-0.105101099,-0.337036747,0.262596909,1.49964136,4.074758749,5.836997018
15,75,290,110,20,0,0.46984631,-4.561152316,-0.496142057,0.108775595,-0.103010441,-0.946999562,0.626719099,1.486910707,1349.635245,1351.748874
15,75,300,110,20,0,0.470544315,-4.655766675,0.417180103,-0.089605028,-0.101066988,1.127916482,1.40354514,1.475177886,0.003395251,2.882118276
15,75,310,110,20,0,0.456238021,-4.594128411,1.359893704,-0.296006899,-0.09930894,0.335495355,3.344514366,1.464647781,0.249416713,5.05857886
15,75,320,110,20,0,0.426740353,-4.365104696,2.295581156,-0.525893722,-0.097761768,0.185896435,10.28053832,1.455445739,0.473801794,12.20978586
15,75,330,110,20,0,0.382486091,-3.966001134,3.183902051,-0.802799077,-0.096441246,0.120131237,83.35333552,1.447639487,0.619919671,85.42089468
15,75,340,110,20,0,0.324574322,-3.403807943,3.983255406,-1.170235064,-0.095356239,0.081484688,162.8328234,1.441258182,0.724463634,164.9985452
15,75,350,110,20,0,0.254764668,-2.695607078,4.653805848,-1.726440729,-0.094511055,0.054743295,14.17737249,1.436307694,0.806477085,16.42015727
15,75,360,110,20,0,0.175423813,-1.868053206,5.16056924,-2.762538682,-0.093907289,0.033993113,4.609018392,1.432782124,0.87627117,6.918071686
20,70,0,110,20,0,0.232305089,-1.775924186,5.152915378,-2.901540178,-0.130807999,0.045082263,4.259743352,1.665897985,0.838267796,6.763909134
20,70,10,110,20,0,0.118571255,-0.911313506,5.490046152,-6.024322166,-0.130110279,0.021597497,1.988661868,1.661137244,0.920760952,4.570560065
20,70,20,110,20,0,-4.19E-17,3.22E-16,5.604774284,1.74E+16,-0.129878641,-7.47E-18,1.02441844,1.659559905,1.003692821,3.687671166
20,70,30,110,20,0,-0.118571255,0.911313506,5.490046152,6.024322166,-0.130110279,-0.021597497,0.529126184,1.661137244,1.094101774,3.284365202
20,70,40,110,20,0,-0.232305089,1.775924186,5.152915378,2.901540178,-0.130807999,-0.045082263,0.249517746,1.665897985,1.201799054,3.117214785
20,70,50,110,20,0,-0.336659986,2.550841509,4.613898196,1.808774939,-0.13197997,-0.072966496,0.090048835,1.673927294,1.343893112,3.107869241
20,70,60,110,20,0,-0.427659288,3.200110134,3.905111035,1.220305199,-0.133638928,-0.109512709,0.01240072,1.685363313,1.557019854,3.254783886
20,70,70,110,20,0,-0.502109223,3.697399207,3.067396367,0.829609192,-0.135800652,-0.163692318,0.006560034,1.70038985,1.941310113,3.648259997
20,70,80,110,20,0,-0.557747666,4.027598851,2.146753097,0.533010654,-0.138481434,-0.259809881,0.085548523,1.719222645,2.903115784,4.707886952
20,70,90,110,20,0,-0.593312876,4.187279272,1.190460838,0.284304141,-0.141694126,-0.498389243,0.297164477,1.742085214,8.93412121,10.9733709
20,70,100,110,20,0,-0.608530111,4.183998532,0.24331471,0.058153632,-0.145442238,-2.501000086,0.770794667,1.769168538,5.431697531,7.971660736
20,70,110,110,20,0,-0.604022774,4.034576089,-0.655634044,-0.162503824,-0.149711583,0.921280368,1.893197186,1.800567291,0.001833312,3.695597789
20,70,120,110,20,0,-0.58116251,3.762565092,-1.475503657,-0.392153656,-0.154459124,0.393873988,5.190056902,1.83618488,0.190702211,7.216943993
20,70,130,110,20,0,-0.54187861,3.395243485,-2.19495047,-0.646478074,-0.159599337,0.246875097,21.57808884,1.875602511,0.367059808,23.82075116
20,70,140,110,20,0,-0.488450467,2.960491921,-2.802387142,-0.946595099,-0.16498963,0.174297997,1327.699459,1.917917431,0.497010775,1330.114388
20,70,150,110,20,0,-0.423307356,2.483929979,-3.295095681,-1.326565446,-0.170418393,0.128465877,50.92937878,1.96157661,0.599327371,53.49028276
20,70,160,110,20,0,-0.348857421,1.986640906,-3.677411721,-1.851070171,-0.17560165,0.094864934,11.30383795,2.004265309,0.68650181,13.99460507
20,70,170,110,20,0,-0.267362787,1.483734579,-3.958264152,-2.667771047,-0.180195832,0.067545464,4.890028827,2.042944632,0.766152226,7.699125686
20,70,180,110,20,0,-0.180870823,0.983888398,-4.148425746,-4.216358027,-0.183832661,0.04359987,2.66981517,2.074138574,0.843252905,5.587206649
20,70,190,110,20,0,-0.091203653,0.489880065,-4.257857205,-8.691631904,-0.186175474,0.021420083,1.618387065,2.09450753,0.921413654,4.634308249
20,70,200,110,20,0,-3.21E-17,1.72E-16,-4.293506195,-2.50E+16,-0.186985321,7.47E-18,1.02441844,2.101599098,1.003692821,4.129710359
20,70,210,110,20,0,0.091203653,-0.489880065,-4.257857205,8.691631904,-0.186175474,-0.021420083,0.649268498,2.09450753,1.093326622,3.83710265
20,70,220,110,20,0,0.180870823,-0.983888398,-4.148425746,4.216358027,-0.183832661,-0.04359987,0.395296784,2.074138574,1.194691988,3.664127345
20,70,230,110,20,0,0.267362787,-1.483734579,-3.958264152,2.667771047,-0.180195832,-0.067545464,0.217944513,2.042944632,1.314969968,3.575859113
20,70,240,110,20,0,0.348857421,-1.986640906,-3.677411721,1.851070171,-0.17560165,-0.094864934,0.096500072,2.004265309,1.467634578,3.568399958
20,70,250,110,20,0,0.423307356,-2.483929979,-3.295095681,1.326565446,-0.170418393,-0.128465877,0.023256046,1.96157661,1.681297898,3.666130554
20,70,260,110,20,0,0.488450467,-2.960491921,-2.802387142,0.946595099,-0.16498963,-0.174297997,0.000234073,1.917917431,2.027850247,3.946001751
20,70,270,110,20,0,0.54187861,-3.395243485,-2.19495047,0.646478074,-0.159599337,-0.246875097,0.041038023,1.875602511,2.747129598,4.663770132
20,70,280,110,20,0,0.58116251,-3.762565092,-1.475503657,0.392153656,-0.154459124,-0.393873988,0.18018959,1.83618488,5.296849833,7.313224302
20,70,290,110,20,0,0.604022774,-4.034576089,-0.655634044,0.162503824,-0.149711583,-0.921280368,0.501673114,1.800567291,595.7732856,598.075526
20,70,300,110,20,0,0.608530111,-4.183998532,0.24331471,-0.058153632,-0.145442238,2.501000086,1.235105465,1.769168538,0.182235031,3.186509035
20,70,310,110,20,0,0.593312876,-4.187279272,1.190460838,-0.284304141,-0.141694126,0.498389243,3.176762757,1.742085214,0.113307211,5.032155182
20,70,320,110,20,0,0.557747666,-4.027598851,2.146753097,-0.533010654,-0.138481434,0.259809881,10.69693796,1.719222645,0.347375666,12.76353627
20,70,330,110,20,0,0.502109223,-3.697399207,3.067396367,-0.829609192,-0.135800652,0.163692318,115.0382116,1.70038985,0.519137636,117.257739
20,70,340,110,20,0,0.427659288,-3.200110134,3.905111035,-1.220305199,-0.133638928,0.109512709,101.8171933,1.685363313,0.647120256,104.1496768
20,70,350,110,20,0,0.336659986,-2.550841509,4.613898196,-1.808774939,-0.13197997,0.072966496,12.14530456,1.673927294,0.749671648,14.5689035
20,70,360,110,20,0,0.232305089,-1.775924186,5.152915378,-2.901540178,-0.130807999,0.045082263,4.259743352,1.665897985,0.838267796,6.763909134
25,65,0,110,20,0,0.285467851,-1.629834609,5.106044719,-3.132860655,-0.175151423,0.055907824,3.80188909,2.000517698,0.80272539,6.605132177
25,65,10,110,20,0,0.145892956,-0.838992912,5.462071924,-6.51027183,-0.17389057,0.026710186,1.890883741,1.990062908,0.902146796,4.783093445
25,65,20,110,20,0,-5.16E-17,2.97E-16,5.583446425,1.88E+16,-0.173473732,-9.23E-18,1.02441844,1.986619579,1.003692821,4.01473084
