Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
103,166.166140512,38.169462657,22.8032089091,45.5904995111,272.021517738,19.1658744447,316,48,16,0.0228331176073,"[35, 'Combined', 1284218, array([-4.88377674,  0.86078386, -0.28454502]), array([-0.98682913,  0.15078749, -0.05857818])]"
2,97.9435579466,68.9720065692,5.82721366681,0.813335412897,275.514805775,21.0107528967,4,24,88,0.0229173551195,"[35, 'Combined', 18494, array([-4.89171622,  0.85775271, -0.32485811]), array([-0.98682913,  0.15078749, -0.05857818])]"
101,163.952676624,40.4195082319,20.9326146899,43.1674452505,271.518382063,19.5127206998,316,46,18,0.0229537821831,"[35, 'Combined', 1284039, array([-4.89517153,  0.81740735, -0.2000069 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
129,126.887709136,65.3998791548,9.54300821478,11.8764974873,274.860703266,21.2139465319,344,26,62,0.0231109139025,"[35, 'Combined', 1395661, array([-4.89756196,  0.84441786, -0.35678927]), array([-0.98682913,  0.15078749, -0.05857818])]"
37,24.8571260757,41.6950776522,169.652548421,42.5286121563,277.520624954,18.4954339542,52,46,160,0.0231738094191,"[35, 'Combined', 214910, array([-4.85766502,  0.75778975, -0.40194878]), array([-0.98682913,  0.15078749, -0.05857818])]"
98,176.447601398,16.7259958534,48.554580152,63.9285295371,272.522235777,19.3996490333,314,64,-2,0.0232955856477,"[35, 'Combined', 1277549, array([-4.91324092,  0.64724375, -0.2369    ]), array([-0.98682913,  0.15078749, -0.05857818])]"
55,16.4700569338,27.8498303283,156.809044346,55.5374285045,276.214418618,18.6224240584,148,84,34,0.023400844625,"[35, 'Combined', 607067, array([-4.88328544,  0.65816179, -0.36536834]), array([-0.98682913,  0.15078749, -0.05857818])]"
56,18.0885477209,33.4708346335,162.530844786,50.8993361352,275.822094975,17.8145348103,150,80,38,0.0234629662513,"[35, 'Combined', 614809, array([-4.859255  ,  0.82775062, -0.20972364]), array([-0.98682913,  0.15078749, -0.05857818])]"
66,84.1782292022,68.7498413722,183.629155716,3.65368998384,275.026650137,20.9034584737,182,66,86,0.0234911210804,"[35, 'Combined', 743173, array([-4.89605706,  0.85587783, -0.24338526]), array([-0.98682913,  0.15078749, -0.05857818])]"
51,11.5938201965,19.5399505771,148.092799379,63.9285295371,275.53394867,16.5653468892,144,88,26,0.0235577837518,"[35, 'Combined', 591223, array([-4.83482698,  0.85551057, -0.29836575]), array([-0.98682913,  0.15078749, -0.05857818])]"
137,103.616206076,68.5569601322,5.31620524349,3.24506534477,274.057912648,21.1718774903,358,24,82,0.0236031613845,"[35, 'Combined', 1452191, array([-4.90636058,  0.83150124, -0.20651315]), array([-0.98682913,  0.15078749, -0.05857818])]"
131,113.771753592,66.8536738966,6.53241109253,7.2205195332,273.617996388,21.8664490145,350,24,72,0.0236943642394,"[35, 'Combined', 1419786, array([-4.92903321,  0.69837412, -0.18704908]), array([-0.98682913,  0.15078749, -0.05857818])]"
