,Strike,Dip,Rake,Misfit,Extra
113,94,16,-36,0.0216164745618,"[535, 'iasp91', 212332, array([ 0.00668427, -0.31997316, -0.38745304]), array([ 0.        , -0.64981277, -0.76009431])]"
130,124,16,-8,0.0216498985412,"[535, 'iasp91', 279846, array([ 0.0170114 , -0.51726438, -0.61004936]), array([ 0.        , -0.64981277, -0.76009431])]"
58,50,46,-100,0.0216569003076,"[535, 'iasp91', 114800, array([ 0.03021568, -1.82711196, -2.05813524]), array([ 0.        , -0.64981277, -0.76009431])]"
358,176,36,46,0.0217627498863,"[535, 'iasp91', 397873, array([ 0.02982371, -0.9772058 , -1.12352799]), array([ 0.        , -0.64981277, -0.76009431])]"
195,146,82,38,0.0218723202025,"[535, 'iasp91', 332669, array([ 0.1123691 , -3.61673486, -4.16300992]), array([ 0.        , -0.64981277, -0.76009431])]"
236,154,70,46,0.0218767912998,"[535, 'iasp91', 350073, array([-0.04159648, -3.13316739, -3.51975659]), array([ 0.        , -0.64981277, -0.76009431])]"
266,160,64,42,0.021909063195,"[535, 'iasp91', 363271, array([ 0.06318724, -2.70824323, -3.06990264]), array([ 0.        , -0.64981277, -0.76009431])]"
330,170,60,56,0.022062663817,"[535, 'iasp91', 385578, array([-0.05598402, -2.1786587 , -2.47683301]), array([ 0.        , -0.64981277, -0.76009431])]"
186,146,18,14,0.0221207655068,"[535, 'iasp91', 329457, array([ 0.01929458, -0.56836617, -0.6631895 ]), array([ 0.        , -0.64981277, -0.76009431])]"
124,116,16,-16,0.0222870913696,"[535, 'iasp91', 261842, array([ 0.01653305, -0.5064495 , -0.60134259]), array([ 0.        , -0.64981277, -0.76009431])]"
8,38,62,-98,0.0223762470673,"[535, 'iasp91', 88601, array([-0.042066  , -1.2290582 , -1.44681007]), array([ 0.        , -0.64981277, -0.76009431])]"
350,174,48,48,0.0223992048251,"[535, 'iasp91', 393974, array([ 0.0364252 , -1.55589555, -1.76145828]), array([ 0.        , -0.64981277, -0.76009431])]"
161,140,84,42,0.0226121018653,"[535, 'iasp91', 319271, array([-0.04220472, -3.8469475 , -4.30959667]), array([ 0.        , -0.64981277, -0.76009431])]"
338,172,54,50,0.0226265692515,"[535, 'iasp91', 389775, array([ 0.0202422 , -1.88509377, -2.11151618]), array([ 0.        , -0.64981277, -0.76009431])]"
128,122,16,-10,0.0226427271049,"[535, 'iasp91', 275345, array([ 0.0169754 , -0.5140927 , -0.61092404]), array([ 0.        , -0.64981277, -0.76009431])]"
80,54,44,-98,0.0226469925025,"[535, 'iasp91', 123701, array([ 0.06440495, -1.8470603 , -2.1624549 ]), array([ 0.        , -0.64981277, -0.76009431])]"
357,176,34,46,0.0226591820883,"[535, 'iasp91', 397773, array([ 0.02462944, -0.8639641 , -1.03857085]), array([ 0.        , -0.64981277, -0.76009431])]"
232,154,70,38,0.0226888998654,"[535, 'iasp91', 350069, array([ 0.09597529, -3.01583725, -3.59887177]), array([ 0.        , -0.64981277, -0.76009431])]"
333,172,44,44,0.0227119743884,"[535, 'iasp91', 389272, array([ 0.04645576, -1.4211966 , -1.69161105]), array([ 0.        , -0.64981277, -0.76009431])]"
97,62,28,-68,0.0227344601454,"[535, 'iasp91', 140916, array([ 0.00610074, -0.37390324, -0.42006922]), array([ 0.        , -0.64981277, -0.76009431])]"
141,134,88,42,0.0227504803573,"[535, 'iasp91', 305971, array([-0.10527303, -3.94487501, -4.48222847]), array([ 0.        , -0.64981277, -0.76009431])]"
254,158,66,40,0.0227505911493,"[535, 'iasp91', 358870, array([ 0.0860735 , -2.828762  , -3.23732221]), array([ 0.        , -0.64981277, -0.76009431])]"
281,162,64,52,0.0228374227873,"[535, 'iasp91', 367776, array([-0.07574316, -2.6268488 , -2.99507126]), array([ 0.        , -0.64981277, -0.76009431])]"
213,150,74,44,0.0228451521333,"[535, 'iasp91', 341272, array([-0.02838812, -3.38405423, -3.78530801]), array([ 0.        , -0.64981277, -0.76009431])]"
