Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,source,,
112,60,-100,0.240054472,2.477920766,3.169910126,1.279262102,0.09687738,0.07572911,S0173ab_EH45TcoldCrust1b_10.csv,,
112,70,100,0.002148465,2.423015281,3.437824052,1.418820623,0.000886691,0.000624949,S0173ab_EH45TcoldCrust1b_10.csv,,
115,70,-100,0.050619261,2.68098568,4.071774869,1.518760395,0.01888084,0.012431744,S0173ab_EH45TcoldCrust1b_10.csv,,
115,70,-90,0.045345501,2.667798835,3.801378611,1.424912014,0.016997346,0.011928699,S0173ab_EH45TcoldCrust1b_10.csv,,
115,70,90,0.045345501,2.667798835,3.801378611,1.424912014,0.016997346,0.011928699,S0173ab_EH45TcoldCrust1b_10.csv,,
115,70,100,0.03869394,2.573552271,3.415479388,1.327145916,0.015035226,0.011328992,S0173ab_EH45TcoldCrust1b_10.csv,,
125,0,-100,0.720823422,2.594337446,3.294866199,1.270022219,0.277844897,0.218771682,S0173ab_EH45TcoldCrust1b_10.csv,,
125,20,0,0.605090132,2.09668823,2.869490177,1.368582193,0.288593279,0.210870257,S0173ab_EH45TcoldCrust1b_10.csv,,
125,60,45,0.046032401,2.389106337,3.331066812,1.394273148,0.019267623,0.013819117,S0173ab_EH45TcoldCrust1b_10.csv,,
125,70,45,0.238228735,2.803433739,3.615290418,1.289593675,0.08497748,0.065894771,S0173ab_EH45TcoldCrust1b_10.csv,,
125,80,-100,0.466240922,3.043950007,4.076790318,1.339309223,0.153169704,0.114364705,S0173ab_EH45TcoldCrust1b_10.csv,,
125,80,-90,0.422730929,2.867242261,3.947604823,1.376795005,0.147434674,0.107085422,S0173ab_EH45TcoldCrust1b_10.csv,,
125,80,90,0.422730929,2.867242261,3.947604823,1.376795005,0.147434674,0.107085422,S0173ab_EH45TcoldCrust1b_10.csv,,
125,80,100,0.366376471,2.603414809,3.698473353,1.420623921,0.140729195,0.099061541,S0173ab_EH45TcoldCrust1b_10.csv,,
130,0,-90,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
130,0,90,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
130,90,-100,0.726372107,2.657081959,3.574020205,1.345092195,0.273372112,0.20323671,S0173ab_EH45TcoldCrust1b_10.csv,,
130,90,-90,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
130,90,90,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
140,0,100,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
160,90,0,0.274571328,1.138481509,1.629460878,1.431258097,0.241173288,0.1685044,S0173ab_EH45TcoldCrust1b_10.csv,,
45,80,100,0.647709843,0.953065376,2.937852908,3.082530308,0.679606939,0.220470481,S0173ab_EH45TcoldCrust1b_10.csv,,
50,60,45,0.992041578,1.3034878,0.069023556,0.052952975,0.761067021,14.37250744,S0173ab_EH45TcoldCrust1b_10.csv,,
50,80,100,0.600453788,0.791206636,3.129620294,3.955503089,0.758908938,0.191861546,S0173ab_EH45TcoldCrust1b_10.csv,,
130,20,45,0.90229336,1.389845792,0.680488913,0.489614687,0.649203937,1.325948657,S0173ab_EH45TcoldCrust1b_10.csv,,
150,45,0,0.067449621,0.095108005,2.18137898,22.93580835,0.709189731,0.030920634,S0173ab_EH45TcoldCrust1b_10.csv,,
40,60,100,0.491087057,1.670144806,1.038702264,0.621923476,0.29403861,0.47278905,S0173ab_EH45TcoldCrust1b_10.csv,,
45,70,-100,0.844085359,0.568124006,1.781702961,3.136116307,1.485741404,0.47375201,S0173ab_EH45TcoldCrust1b_10.csv,,
45,80,45,0.940415187,2.598325338,1.714250453,0.659752044,0.361931269,0.548586809,S0173ab_EH45TcoldCrust1b_10.csv,,
50,45,0,0.862998468,3.277286559,1.788213552,0.545638448,0.263327131,0.482603695,S0173ab_EH45TcoldCrust1b_10.csv,,
110,0,0,0.927185766,3.33706242,1.741118327,0.521751801,0.277844897,0.532523121,S0173ab_EH45TcoldCrust1b_10.csv,,
110,45,-100,0.554620727,1.846030475,1.082563279,0.586427631,0.300439638,0.512321763,S0173ab_EH45TcoldCrust1b_10.csv,,
112,45,-100,0.539254366,1.908856281,1.139089615,0.596739329,0.282501292,0.473408201,S0173ab_EH45TcoldCrust1b_10.csv,,
130,20,-100,0.812037204,0.40379859,1.530380294,3.78995948,2.010995641,0.530611383,S0173ab_EH45TcoldCrust1b_10.csv,,
130,45,100,0.306252122,2.763355775,0.580469463,0.21005962,0.110826165,0.527593856,S0173ab_EH45TcoldCrust1b_10.csv,,
140,20,-90,0.769054304,0.197412337,1.641988386,8.31755709,3.895674981,0.468367688,S0173ab_EH45TcoldCrust1b_10.csv,,
140,20,90,0.769054304,0.197412337,1.641988386,8.31755709,3.895674981,0.468367688,S0173ab_EH45TcoldCrust1b_10.csv,,
140,90,45,0.862998468,3.277286559,1.788213552,0.545638448,0.263327131,0.482603695,S0173ab_EH45TcoldCrust1b_10.csv,,
150,70,0,0.195419591,0.89955913,0.39315283,0.43705057,0.217239295,0.497057572,S0173ab_EH45TcoldCrust1b_10.csv,,
150,80,45,0.740348889,3.786776524,1.471764475,0.38865892,0.195508999,0.503034896,S0173ab_EH45TcoldCrust1b_10.csv,,
155,0,45,0.927185766,3.33706242,1.741118327,0.521751801,0.277844897,0.532523121,S0173ab_EH45TcoldCrust1b_10.csv,,
155,20,100,0.747623098,0.134158219,1.599519504,11.92263521,5.57269696,0.467404803,S0173ab_EH45TcoldCrust1b_10.csv,,
160,20,100,0.764152187,0.182536197,1.400160117,7.670588836,4.186304953,0.545760572,S0173ab_EH45TcoldCrust1b_10.csv,,
160,45,100,0.131382315,3.517276566,0.254235312,0.072281866,0.037353422,0.516774456,S0173ab_EH45TcoldCrust1b_10.csv,,
160,70,45,0.553580487,3.942341736,1.119401887,0.283943393,0.140419204,0.494532387,S0173ab_EH45TcoldCrust1b_10.csv,,
150,20,-100,0.833436931,0.425476396,0.558691718,1.313096857,1.958832357,1.491765323,S0173ab_EH45TcoldCrust1b_15.csv,,
40,80,100,0.6894245,1.087778016,2.726770779,2.50673459,0.633791537,0.252835517,S0173ab_EH45TcoldCrust1b_15.csv,,
115,45,45,0.582065394,0.756800331,2.262501323,2.989561751,0.769113556,0.257266322,S0173ab_EH45TcoldCrust1b_15.csv,,
125,20,45,0.91976996,1.453488633,0.394230337,0.271230423,0.632801619,2.333077578,S0173ab_EH45TcoldCrust1b_15.csv,,
115,45,-90,0.45025855,2.263798624,0.819650906,0.362068824,0.198895142,0.549329656,S0173ab_EH45TcoldCrust1b_15.csv,,
115,45,90,0.45025855,2.263798624,0.819650906,0.362068824,0.198895142,0.549329656,S0173ab_EH45TcoldCrust1b_15.csv,,
130,70,0,0.181922622,0.8749739,1.322987904,1.512031278,0.20791777,0.137508908,S0173ab_EH45TcoldCrust1b_25.csv,,
45,90,-100,0.762309497,2.701831768,3.40342633,1.259673667,0.282145434,0.223982958,S0173ab_EH45TcoldCrust1b_35.csv,,
130,45,45,0.354805453,1.606717509,2.442127629,1.519948351,0.220826281,0.145285385,S0173ab_EH45TcoldCrust1b_35.csv,,
125,45,100,0.30219098,2.684108073,0.569023293,0.211997162,0.11258525,0.531069612,S0173ab_EH45TcoldCrust1b_35.csv,,
160,80,100,0.806819917,4.122302378,1.769510974,0.429253076,0.195720702,0.455956436,S0173ab_EH45TcoldCrust1b_35.csv,,
45,20,45,0.350648913,0.465311007,4.489264592,9.647879642,0.753579667,0.07810832,S0173ab_EH45TcoldCrust1b_45.csv,,
50,80,-90,0.694635365,1.095726683,3.12279035,2.849971984,0.633949484,0.222440602,S0173ab_EH45TcoldCrust1b_45.csv,,
50,80,90,0.694635365,1.095726683,3.12279035,2.849971984,0.633949484,0.222440602,S0173ab_EH45TcoldCrust1b_45.csv,,
112,20,45,0.933762068,1.475103752,0.399813908,0.271041211,0.633014503,2.335491712,S0173ab_EH45TcoldCrust1b_45.csv,,
115,20,45,0.927872898,1.446174795,0.202198844,0.139816324,0.641604944,4.588912974,S0173ab_EH45TcoldCrust1b_45.csv,,
155,80,-100,0.865468942,4.328366911,1.903796459,0.439841746,0.199952767,0.454601613,S0173ab_EH45TcoldCrust1b_45.csv,,
110,70,0,0.030729364,0.046787153,1.999755103,42.74154324,0.656790633,0.015366563,S0173ab_EH45TcoldCrust1b_5.csv,,
40,0,-90,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
40,0,90,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
40,20,0,0.804027768,2.408059237,3.295598128,1.368570207,0.333890361,0.24397021,S0173ab_EH45TcoldCrust1b_55.csv,,
40,90,-90,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
40,90,90,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
50,0,0,0.707199663,2.075954954,2.819292238,1.358070045,0.340662336,0.250842979,S0173ab_EH45TcoldCrust1b_55.csv,,
50,0,100,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
112,20,0,0.603194052,1.735498133,2.286158221,1.317292239,0.34756249,0.263846153,S0173ab_EH45TcoldCrust1b_55.csv,,
112,70,-90,0.162504999,2.468871721,3.777462296,1.530035872,0.065821564,0.043019622,S0173ab_EH45TcoldCrust1b_55.csv,,
112,70,90,0.162504999,2.468871721,3.777462296,1.530035872,0.065821564,0.043019622,S0173ab_EH45TcoldCrust1b_55.csv,,
115,20,0,0.567980697,1.628868001,2.417565566,1.484199803,0.348696578,0.234939108,S0173ab_EH45TcoldCrust1b_55.csv,,
125,70,0,0.390243138,1.272163148,1.631650633,1.282579703,0.306755575,0.23917077,S0173ab_EH45TcoldCrust1b_55.csv,,
130,0,-100,0.707199663,2.075954954,2.819292238,1.358070045,0.340662336,0.250842979,S0173ab_EH45TcoldCrust1b_55.csv,,
130,0,0,0.679175368,1.99369081,2.98595858,1.497703939,0.340662336,0.227456393,S0173ab_EH45TcoldCrust1b_55.csv,,
130,80,-90,0.570445953,2.747846587,3.620615173,1.31761911,0.207597453,0.157554981,S0173ab_EH45TcoldCrust1b_55.csv,,
130,80,90,0.570445953,2.747846587,3.620615173,1.31761911,0.207597453,0.157554981,S0173ab_EH45TcoldCrust1b_55.csv,,
130,80,100,0.461379032,2.387444251,3.420218292,1.432585615,0.193252275,0.134897539,S0173ab_EH45TcoldCrust1b_55.csv,,
