,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12205,2449,143,46,49,3,316,43,338,4,18,0.03214412,35,NewGudkova,0.415427499
12206,892,124,45,218,3,311,44,116,4,168,0.032158871,35,NewGudkova,0.415152342
12207,475,187,30,82,23,321,49,78,80,-114,0.032205745,35,NewGudkova,0.414277976
12208,422,174,38,71,15,323,46,70,86,-106,0.03221106,35,NewGudkova,0.414178838
12209,2230,184,34,79,20,324,48,328,22,-20,0.032249592,35,NewGudkova,0.413460064
12210,1953,167,39,66,13,321,47,320,14,-16,0.032259607,35,NewGudkova,0.413273247
12211,2364,207,14,109,29,320,56,332,40,-40,0.03226637,35,NewGudkova,0.413147093
12212,1247,103,41,203,11,306,46,126,12,-168,0.032267646,35,NewGudkova,0.413123297
12213,404,126,46,218,0,308,43,68,2,120,0.032396778,35,NewGudkova,0.410714517
12214,450,179,36,75,17,324,47,74,84,-108,0.032415664,35,NewGudkova,0.410362235
12215,953,108,44,205,7,303,44,118,8,-178,0.032489085,35,NewGudkova,0.408992666
12216,449,181,35,76,19,323,47,74,84,-110,0.032511658,35,NewGudkova,0.408571591
12217,1076,70,24,172,24,301,54,120,30,-146,0.032524663,35,NewGudkova,0.408329013
12218,829,57,15,156,30,304,55,112,40,-142,0.032555596,35,NewGudkova,0.407751988
12219,1299,101,40,201,11,304,47,128,12,-164,0.03256799,35,NewGudkova,0.407520795
12220,1863,141,44,48,3,313,44,316,4,-2,0.032608098,35,NewGudkova,0.406772649
12221,2393,207,17,106,29,323,54,334,38,-36,0.032623162,35,NewGudkova,0.406491644
12222,786,118,45,212,3,305,44,110,4,168,0.032688995,35,NewGudkova,0.405263615
12223,667,214,9,118,31,320,56,100,62,-126,0.032712758,35,NewGudkova,0.404820361
12224,589,202,20,102,26,325,55,92,70,-118,0.032746958,35,NewGudkova,0.404182409
12225,941,123,45,218,3,311,44,118,4,170,0.032782402,35,NewGudkova,0.403521248
12226,446,180,34,76,19,322,49,74,82,-110,0.0327856,35,NewGudkova,0.403461592
12227,2270,137,45,43,3,310,43,330,4,16,0.032794861,35,NewGudkova,0.403288846
